Date,Volume (Billion),Low (EUR),High (EUR)
2019-07-28,13.738687092,8049.49828125,8330.72408214
2019-07-29,13.791445323,8241.46497054,8423.03414106
2019-07-30,13.829811132,8210.48226606,8440.530996419999
2019-07-31,16.631520647,8350.34496072,8774.496299100001
2019-08-01,17.165337857,8632.15699197,9088.82033214
2019-08-02,17.489094081,9022.781894639998,9272.41921875
2019-08-03,15.35268506,9138.04924821,9523.6996875
2019-08-04,16.530894786,9239.642138399999,9578.01011697
2019-08-05,23.875988832,9535.83975624,10348.729863389999
2019-08-06,23.635107659,9822.93635715,10678.22452143
2019-08-07,22.194988641,9947.32001964,10472.181503580001
2019-08-08,19.481591729,10053.86613303,10422.09533214
2019-08-09,18.339989959,10187.47825179,10414.29846696
2019-08-10,18.125355447,9851.791641060001,10366.62008751
2019-08-11,15.774371517,9786.016582139999,10025.513818739999
2019-08-12,13.647198229,9849.227519639999,10029.52482411
2019-08-13,16.681503536,9422.384618760001,9935.44333035
2019-08-14,19.990838299,8724.47809554,9473.91427767
2019-08-15,22.899115082,8417.52527322,9080.54768571
2019-08-16,20.228207096,8574.26630892,9156.18415983
2019-08-17,13.778035685,8775.42747054,9093.78375
2019-08-18,12.999813869,8803.61241249,9123.75117231
2019-08-19,16.038264603,8972.48756874,9496.96672857
2019-08-20,15.053082175,9238.49601606,9523.92653304
2019-08-21,19.473084767,8667.5678616,9394.89465804
2019-08-22,17.097508856,8553.372715169999,8902.70660178
2019-08-23,15.627023886,8768.02737321,9084.925722330001
2019-08-24,15.45103065,8684.59828125,9063.67784196
2019-08-25,14.153856609,8707.64648481,8965.021200899999
2019-08-26,18.438654079,8809.88083035,9145.72546875
2019-08-27,14.762609502,8775.95167947,9031.75546875
2019-08-28,17.603790323,8453.4909375,8943.04860357
2019-08-29,17.0458785,8196.81799821,8488.40393571
2019-08-30,13.595263986,8202.623378580001,8400.827900010001
2019-08-31,11.454806419,8292.66583035,8415.702011610001
2019-09-01,11.445355859,8337.161572320001,8523.177597330001
2019-09-02,17.248102293,8465.665840169999,9045.03486339
2019-09-03,19.384917988,8968.43663124,9340.41090804
2019-09-04,16.742664768,9078.19766607,9363.50074197
2019-09-05,14.551239507,9149.28363303,9245.72449197
2019-09-06,19.536574782,8954.300830350001,9481.92269553
2019-09-07,15.307366476,9003.55948215,9186.046230360002
2019-09-08,13.670567492,9055.9090134,9218.204794649999
2019-09-09,17.595943367,8826.08882856,9091.77102501
2019-09-10,14.906809639,8717.89872054,9043.087558919999
2019-09-11,15.428063426,8683.27543929,8887.87497054
2019-09-12,15.323563925,8786.34070356,9084.76089822
2019-09-13,14.109864674,8897.139111600001,9084.09565446
2019-09-14,13.468713124,8953.77407232,9067.256396429999
2019-09-15,12.043433567,8972.39071251,9036.72058572
2019-09-16,15.160167778,8865.07740267,9036.57445356
2019-09-17,15.304603363,8873.77315446,8958.19119108
2019-09-18,16.16926888,8866.57866249,8940.057978570001
2019-09-19,19.937691247,8570.97237321,8957.231982149999
2019-09-20,14.734189639,8815.00227501,8948.708700899999
2019-09-21,13.425266806,8700.61596696,8863.64496072
2019-09-22,13.199651698,8632.60388661,8764.76657232
2019-09-23,15.144925408,8462.61489285,8764.58730447
2019-09-24,25.002886688,7282.597529459999,8529.75612321
2019-09-25,21.744728352,7243.09494108,7608.0004687499995
2019-09-26,19.258205289,6869.19757365,7408.64642589
2019-09-27,16.408941155,6930.35288124,7196.22284196
2019-09-28,14.141152736,7069.125527669999,7208.48695356
2019-09-29,13.034629108,6951.7324509,7187.68511697
2019-09-30,17.115474183,6812.7601464300005,7233.3813571499995
2019-10-01,15.305343412,7162.43132856,7392.99237321
2019-10-02,13.125712442,7158.09492231,7301.94653304
2019-10-03,13.668823409,7087.40020044,7320.377958929999
2019-10-04,13.139456229,7091.576029919999,7186.24842768
2019-10-05,12.200497197,7021.87492635,7147.507939290001
2019-10-06,13.160830305,6924.20000982,7100.42683572
2019-10-07,18.009742607,6878.01651831,7228.351669649999
2019-10-08,15.592264032,7121.61397008,7249.46191428
2019-10-09,19.384942333,7107.28998036,7506.104267850001
2019-10-10,17.618660671,7370.58222678,7503.9870410700005
2019-10-11,19.604381101,7235.078027669999,7587.94883751
2019-10-12,14.532641604,7232.606513399999,7321.26070356
2019-10-13,13.808286058,7200.65270535,7369.75980447
2019-10-14,15.151387859,7207.193847330001,7299.4818160800005
2019-10-15,15.220412631,7118.954692410001,7317.32191428
2019-10-16,16.071646995,6947.02816428,7148.626875
2019-10-17,14.313052244,6960.820297769999,7077.303442410001
2019-10-18,15.65159261,6874.882734809999,7080.41980938
